".id","login","id","repos_url","members_url","location","public_repos","created_at","updated_at"
"bbc","bbc",828722,"https://api.github.com/orgs/bbc/repos","https://api.github.com/orgs/bbc/members{/member}","London",69,"2011-06-04T01:31:11Z","2015-06-29T18:23:38Z"
"bbcrd","bbcrd",91042,"https://api.github.com/orgs/bbcrd/repos","https://api.github.com/orgs/bbcrd/members{/member}","London (W1, W12), Salford - United Kingdom",82,"2009-06-02T14:16:01Z","2015-04-26T18:41:33Z"
"BBC-News","BBC-News",1401475,"https://api.github.com/orgs/BBC-News/repos","https://api.github.com/orgs/BBC-News/members{/member}","Broadcasting House, London",54,"2012-02-02T11:31:25Z","2015-07-10T18:48:56Z"
"fmtvp","fmtvp",3027080,"https://api.github.com/orgs/fmtvp/repos","https://api.github.com/orgs/fmtvp/members{/member}","Salford, England",9,"2012-12-12T17:10:07Z","2015-07-21T15:09:06Z"
"bbc-fm-nk-core-eng","bbc-fm-nk-core-eng",4863723,"https://api.github.com/orgs/bbc-fm-nk-core-eng/repos","https://api.github.com/orgs/bbc-fm-nk-core-eng/members{/member}","",2,"2013-06-28T08:24:18Z","2015-07-10T18:38:30Z"
"iplayer","iplayer",5229871,"https://api.github.com/orgs/iplayer/repos","https://api.github.com/orgs/iplayer/members{/member}","London and Manchester",10,"2013-08-14T13:21:06Z","2015-04-27T17:21:20Z"
"BBC-Knowlearn","BBC-Knowlearn",2291142,"https://api.github.com/orgs/BBC-Knowlearn/repos","https://api.github.com/orgs/BBC-Knowlearn/members{/member}","Salford & Glasgow",0,"2012-09-06T10:04:05Z","2015-02-24T22:32:33Z"
"BBCConnectedStudio","BBCConnectedStudio",2707325,"https://api.github.com/orgs/BBCConnectedStudio/repos","https://api.github.com/orgs/BBCConnectedStudio/members{/member}","",3,"2012-11-02T14:31:56Z","2015-07-11T18:48:01Z"
"bbc-sport","bbc-sport",5230473,"https://api.github.com/orgs/bbc-sport/repos","https://api.github.com/orgs/bbc-sport/members{/member}","Quay House, MediaCityUK, Salford",10,"2013-08-14T14:48:05Z","2015-07-21T18:50:43Z"
"bbc-gel","bbc-gel",8303823,"https://api.github.com/orgs/bbc-gel/repos","https://api.github.com/orgs/bbc-gel/members{/member}","",0,"2014-07-29T21:41:16Z","2015-07-02T18:55:57Z"
"BBC-Data","BBC-Data",4571120,"https://api.github.com/orgs/BBC-Data/repos","https://api.github.com/orgs/BBC-Data/members{/member}","",0,"2013-05-30T14:03:42Z","2015-05-01T14:02:15Z"
"BBC-PIPS","BBC-PIPS",5877802,"https://api.github.com/orgs/BBC-PIPS/repos","https://api.github.com/orgs/BBC-PIPS/members{/member}","",1,"2013-11-07T09:07:28Z","2015-04-27T15:02:35Z"
"BBCVisualJournalism","BBCVisualJournalism",6122640,"https://api.github.com/orgs/BBCVisualJournalism/repos","https://api.github.com/orgs/BBCVisualJournalism/members{/member}","London, UK",74,"2013-12-06T12:27:42Z","2015-07-06T18:46:24Z"
"BBC-News-Labs","BBC-News-Labs",8481283,"https://api.github.com/orgs/BBC-News-Labs/repos","https://api.github.com/orgs/BBC-News-Labs/members{/member}","London, UK",21,"2014-08-18T15:36:29Z","2015-04-27T11:08:57Z"
"bbcarchdev","bbcarchdev",4929427,"https://api.github.com/orgs/bbcarchdev/repos","https://api.github.com/orgs/bbcarchdev/members{/member}",NA,38,"2013-07-03T10:46:08Z","2015-04-21T07:50:45Z"
"bbcsnippets","bbcsnippets",648879,"https://api.github.com/orgs/bbcsnippets/repos","https://api.github.com/orgs/bbcsnippets/members{/member}",NA,7,"2011-03-03T12:04:20Z","2015-03-19T11:07:22Z"
